SID,response,entry,entry_number,response_times
00K73X1D,james baldwin,james baldwin,1,3643.9
00K73X1D,patrick radden keefe,patrick radden keefe,2,12572.7
00K73X1D,tayari jones,tayari jones,3,3043.9
00K73X1D,roxane gay,roxane gay,4,14102.5
00K73X1D,zora neale hurston,zora neale hurston,5,10475.6
00K73X1D,langston hughes,langston hughes,6,9678.0
0GMT2ITP,edgar allen poe,edgar allan poe,1,2788.8
0GMT2ITP,susan collins,suzanne collins,2,6423.4
0GMT2ITP,f scott fitzgerald,f scott fitzgerald,3,12411.3
0GMT2ITP,jk rowliing,jk rowling,4,27255.9
0GMT2ITP,lemony snicket,lemony snicket,5,7074.8
0L28O7LJ,jane austen,jane austen,1,3966.3
0L28O7LJ,charles dickinson,charles dickens,2,4542.2
0L28O7LJ,victor hugo,victor hugo,3,4690.7
0L28O7LJ,charlotte bronte,charlotte bronte,4,5706.9
0L28O7LJ,stephanie meyer,stephanie meyer,5,6560.4
0L28O7LJ,ve schwab,v.e. schwab,6,5116.8
0L28O7LJ,dostoyevsky,dostoyevsky,7,12599.7
0L28O7LJ,kafka,kafka,8,13427.2
0MGC7F4K,JK Rowling,jk rowling,1,2960.1
0MGC7F4K,James patterson,james patterson,2,18313.4
0MGC7F4K,Ernest Hemingway,ernest hemingway,3,31093.6
0MGC7F4K,Poe,edgar allan poe,4,3650.1
0MGC7F4K,Shakespare,william shakespeare,5,3938.6
0PRAW6DO,C. S. Lewis,c s lewis,1,7118.3
0PRAW6DO,Jane Austen,jane austen,2,4987.9
0PRAW6DO,Bronte sisters,bronte sisters,3,5487.9
0PRAW6DO,Gabrielle Zevin,gabrielle zevin,4,27608.0
0PRAW6DO,John Green,john green,5,3304.5
0PRAW6DO,Hanya Yanagihara,hanya yanagihara,6,7099.6
0QPSDFM3,jk rowling,jk rowling,1,2339.4
0QPSDFM3,rick riordan,rick riordan,2,3423.8
0QPSDFM3,nate hawthorne,nathaniel hawthorne,3,7317.7
0QPSDFM3,j d salinger,j d salinger,4,6575.0
0QPSDFM3,ernest hemingway,ernest hemingway,5,9957.6
0QPSDFM3,emile zola,emile zola,6,4674.7
0QPSDFM3,charlotte bronte,charlotte bronte,7,10901.3
0QPSDFM3,sinclair lewis,sinclair lewis,8,1876.8
18HXK612,erin hunter,erin hunter,1,2817.5
18HXK612,jk rowling,jk rowling,2,3511.6
18HXK612,brandon sanderson,brandon sanderson,3,4683.1
18HXK612,george rr martin,george r r martin,4,5957.1
18HXK612,rick riordan,rick riordan,5,7054.3
18HXK612,naomi novik,naomi novik,6,4522.2
18HXK612,emily bronte,emily bronte,7,16227.4
18HXK612,shakespeare,william shakespeare,8,4692.2
1KEVYYJ9,MARY SHELLEY,mary shelley,1,9350.3
1KEVYYJ9,ANNE FRANK,anne frank,2,38424.6
20ISZCV2,Jane Austen,jane austen,1,3572.0
2BD455O0,ernest hemingway,ernest hemingway,1,4263.7
2BD455O0,james baldwin,james baldwin,2,2905.6
2BD455O0,charles dickens,charles dickens,3,5248.8
2BD455O0,evelyn waugh,evelyn waugh,4,2488.4
2BD455O0,wilkie collins,wilkie collins,5,2371.8
2BD455O0,michelle zauner,michelle zauner,6,4016.4
2BD455O0,rick riordan,rick riordan,7,2774.7
2BD455O0,tan twan eng,tan twan eng,8,2233.3
2BD455O0,asako serizawa,asako serizawa,9,3825.4
2BD455O0,neal shusterman,neal shusterman,10,4713.6
2BD455O0,john green,john green,11,2801.8
2BD455O0,primo levi,primo levi,12,4512.9
2BD455O0,william shakespeare,william shakespeare,13,9486.1
37UDZTHY,Harriet Beecher Stowe,harriet beecher stowe,1,6244.4
37UDZTHY,Thomas Jefferson,thomas jefferson,2,3449.0
37UDZTHY,Benjamin Franklin,benjamin franklin,3,4116.8
37UDZTHY,Alexander Hamilton,alexander hamilton,4,6589.8
37UDZTHY,Dave Pilkney,dave pilkey,5,12196.2
