SID,response,entry,entry_number,response_times
00K73X1D,alysa liu,alysa liu,1,8271.5
00K73X1D,isabelle levito,isabelle levito,2,32341.6
00K73X1D,amber glenn,amber glenn,3,3394
00K73X1D,tom brady,tom brady,4,3364.1
00K73X1D,mikayla shriffrin,mikaela shiffrin,5,6714.4
00K73X1D,eileen gu,eileen gu,6,5388.3
0GMT2ITP,swimmer,swimmer,1,1727.7
0GMT2ITP,baseball player,baseball player,2,1917.8
0GMT2ITP,football player,football player,3,2815.8
0GMT2ITP,michael phelps,michael phelps,4,2629
0GMT2ITP,tennis player,tennis player,5,2220.9
0GMT2ITP,venus william,venus williams,6,2884.1
0GMT2ITP,serena williams,serena williams,7,2944.8
0GMT2ITP,travis kelce,travis kelce,8,6150.1
0GMT2ITP,soccer players,soccer players,9,4263.5
0GMT2ITP,gymnasts,gymnasts,10,5274.3
0GMT2ITP,simone biles,simone biles,11,1924.7
0GMT2ITP,ian crocker,ian crocker,12,7441.5
0GMT2ITP,tom brady,tom brady,13,12435.2
0GMT2ITP,grock,grok,14,3594.4
0L28O7LJ,eileen gu,eileen gu,1,2533.8
0L28O7LJ,chloe kim,chloe kim,2,2833.7
0L28O7LJ,stephen curry,stephen curry,3,5366.4
0L28O7LJ,jimmy butler,jimmy butler,4,5383.6
0L28O7LJ,tatum,jayson tatum,5,27000.4
0L28O7LJ,alysa lui,alysa liu,6,12949.9
0MGC7F4K,Serena Williams,serena williams,1,3267.6
0MGC7F4K,Travis Kelce,travis kelce,2,10043.8
0PRAW6DO,Messi,leo messi,1,14789.1
0PRAW6DO,Ronaldo,cristiano ronaldo,2,5475.5
0QPSDFM3,michael phelps,michael phelps,1,3014.6
0QPSDFM3,katie ledecky,katie ledecky,2,2431.1
0QPSDFM3,gretchen walsh,gretchen walsh,3,3017.3
0QPSDFM3,alex walsh,alex walsh,4,1549.7
0QPSDFM3,kate douglas,kate douglas,5,1743.5
0QPSDFM3,claire curzan,claire curzan,6,2929.1
0QPSDFM3,yousef ramadan,yousef ramadan,7,2354.5
0QPSDFM3,leon marchand,leon marchand,8,11141.8
0QPSDFM3,simone biles,simone biles,9,2128.4
0QPSDFM3,naomi osaka,naomi osaka,10,6700.9
0QPSDFM3,serena williams,serena williams,11,8983.6
0QPSDFM3,venus williams,venus williams,12,1975.3
0QPSDFM3,andre agassi,andre agassi,13,2710.9
18HXK612,russel wilson,russell wilson,1,4315.5
18HXK612,babe ruth,babe ruth,2,4304.7
18HXK612,michael jordan,michael jordan,3,6618.9
18HXK612,tom brady,tom brady,4,3998.7
18HXK612,wayne gretsky,wayne gretzky,5,8696.8
18HXK612,ronaldo,cristiano ronaldo,6,5072.1
18HXK612,aaron rodgers,aaron rodgers,7,17557.3
1KEVYYJ9,lebron,lebron james,1,3251.6
1KEVYYJ9,messi,lionel messi,2,2226.3
1KEVYYJ9,shaq,shaquille o'neal,3,5870
1KEVYYJ9,ronaldo,cristiano ronaldo,4,15037.7
1KEVYYJ9,kobe,kobe bryant,5,11935.5
20ISZCV2,Tom Brady,tom brady,1,6173
20ISZCV2,Micheal Jordan,michael jordan,2,9494
20ISZCV2,Big papi,david ortiz,3,17245
20ISZCV2,tiger woods,tiger woods,4,9268
20ISZCV2,drew breeze,drew brees,5,10627
20ISZCV2,jj watt,jj watt,6,5199
2BD455O0,bill haas,bill haas,1,2075.7
2BD455O0,jordan spieth,jordan spieth,2,2827.7
2BD455O0,carlos alcaraz,carlos alcaraz,3,5148.6
2BD455O0,andre agassi,andre agassi,4,2740.2
2BD455O0,naomi osaka,naomi osaka,5,1954.8
2BD455O0,yuzuru hanyu,yuzuru hanyu,6,2392.6
2BD455O0,nadia comaneci,nadia comaneci,7,3278.3
2BD455O0,tom brady,tom brady,8,1862.9
2BD455O0,ben roethlisberger,ben roethlisberger,9,2818.2
2BD455O0,peyton manning,peyton manning,10,3509.9
2BD455O0,eli manning,eli manning,11,2528.8
2BD455O0,tiger woods,tiger woods,12,2434
2BD455O0,phil mickelson,phil mickelson,13,2120.3
2BD455O0,fred couples,fred couples,14,2019.9
2BD455O0,chloe kim,chloe kim,15,7326.1
2BD455O0,simone biles,simone biles,16,6737.9
2BD455O0,deshaun watson,deshaun watson,17,3200.2
2BD455O0,aaron jones,aaron jones,18,2722.7
37UDZTHY,Michael Jordan\,michael jordan,1,5120
37UDZTHY,Lebron,lebron,2,1960.2
37UDZTHY,Kyrie,kyrie,3,3338.7
37UDZTHY,Luca Doncic,luka doncic,4,5999.7
37UDZTHY,KD,kd,5,2932.6
37UDZTHY,Lil Jordan Humphrey,lil'jordan humphrey,6,5296.2
37UDZTHY,Brendan Schooler,brenden schooler,7,3181.3
37UDZTHY,Vince Young,vince young,8,2933.6
37UDZTHY,Bob Knight,bob knight,9,5154.6
37UDZTHY,Quinn Eweres,quinn ewers,10,4893.8
37UDZTHY,Adonai Mitchell,adonai mitchell,11,4434.4
37UDZTHY,Conner Robertson,connor robertson,12,6522.5
37UDZTHY,Bijan RObinson,bijan robinson,13,5411.7
3YX63NZD,lebron james,lebron james,1,3524.4
3YX63NZD,steph curry,steph curry,2,2833.4
3YX63NZD,kevin durant,kevin durant,3,3390
3YX63NZD,amen thompson,amen thompson,4,3710.5
3YX63NZD,jamaal murray,jamal murray,5,5297.6
3YX63NZD,michael porter jr,michael porter jr.,6,4637.3
3YX63NZD,devin booker,devin booker,7,2879.3
3YX63NZD,anothony edwards,anthony edwards,8,5823.9
3YX63NZD,shai gilldgeous alexander,shai gilgeous-alexander,9,7950.9
